순위 (ranking),단어 (word),품사 (Part of speech),풀이 (Explanation),등급 (Rating),suffix number,단어 (word) (cleaned),english translation
3046,오래되다,동,,B,되다,오래되다,Long time no see
3047,웬01,관,,C,01,웬,wen
3049,조각01,명,얼음 ~,C,01,조각,piece
3051,중부03,명,中部,C,03,중부,Central
3052,차09,명,茶,A,09,차,car
3053,채소,명,菜蔬,B,채소,채소,vegetable
3056,침01,명,~을 뱉다,C,01,침,saliva
3057,털,명,,B,털,털,hair
3058,판매하다,동,販賣-,B,하다,판매하다,sell
3059,항의01,명,抗議,C,01,항의,protest
3060,해당05,명,該當,C,05,해당,corresponding
3061,확보01,명,確保,C,01,확보,secure
3062,환경오염,명,環境汚染,C,오염,환경오염,Pollution
3063,가치관,명,價値觀,C,치관,가치관,Values
3064,검은색,명,-色,A,은색,검은색,Black color
3065,고생하다,동,苦生-,B,하다,고생하다,Is suffering
3067,기원전,명,紀元前,C,원전,기원전,B.C.
3068,기타01,명,其他,C,01,기타,etc
3069,긴급,명,緊急,C,긴급,긴급,emergency
3070,꺾다,동,,C,꺾다,꺾다,break
3071,꿈꾸다,동,,B,꾸다,꿈꾸다,Dreaming
3072,무려02,부,無慮,C,02,무려,whopping
3073,묻히다02,동,땅에 ~,C,02,묻히다,smear
3075,수표01,명,手票,B,01,수표,check
3076,실태02,명,實態,C,02,실태,reality
3077,아쉽다,형,,C,쉽다,아쉽다,it's a shame
3078,애정02,명,愛情,C,02,애정,Affection
3079,얘03,불,이 아이,B,03,얘,Boy
3080,어머,감,,B,어머,어머,oh
3081,여보세요,감,,A,세요,여보세요,hello
3083,일정03,명,日程,B,03,일정,schedule
3084,장르,명,&프genre,C,장르,장르,genre
3085,저렇다,형,,B,렇다,저렇다,It's like that
3086,접하다01,동,接-,C,01,접하다,contact with
3087,정성11,명,精誠,C,11,정성11,Sincerity 11
3088,제약01,명,制約,C,01,제약,Restrictions
3089,쫓다,동,,C,쫓다,쫓다,run
3090,천03,관,千,A,03,천,cloth
3091,추가02,명,追加,C,02,추가,addition
3093,테이프,명,tape,B,이프,테이프,tape
3095,품01,명,옷이 ~이 크다,C,01,품,Poom
3097,해석03,명,解析,C,03,해석,Translate
3098,확인되다,동,確認-,C,되다,확인되다,confirmed
3099,가하다01,동,加-,C,01,가하다,inflict
3100,간장01,명,-醬,B,01,간장,soy sauce
3101,강의02,명,講義,C,02,강의,lecture
3102,거01,대,것,A,01,거,thing
3104,고민하다,동,苦悶-,B,하다,고민하다,worry
3105,과04,명,科,C,04,과,class
3107,교환01,명,交換,B,01,교환,exchange
3108,국어01,명,國語,B,01,국어,Korean
3109,노랗다,형,,B,랗다,노랗다,yellow
3110,다치다01,동,,B,01,다치다,get hurt
3111,동양03,명,東洋,B,03,동양,Eastern
3112,동포02,명,同胞,C,02,동포,compatriots
3113,뚫다,동,,C,뚫다,뚫다,bore
3116,상02,명,上,C,02,상,award
3117,새01,명,사이,C,01,새,bird
3122,악기05,명,樂器,B,05,악기,instrument
3124,연말02,명,年末,B,02,연말,Year-end
3125,올려놓다,동,,B,놓다,올려놓다,put on
3126,외면하다,동,外面-,C,하다,외면하다,turn away
3127,원고03,명,原稿,C,03,원고,Manuscript
3129,정말01,명,正-,B,01,정말,really
3130,줄곧,부,,C,줄곧,줄곧,all along
3131,지출01,명,支出,C,01,지출,expenditure
3133,차08,명,差,C,08,차,car
3134,치우다01,동,,B,01,치우다,clean up
3135,피로02,명,疲勞,B,02,피로,fatigue
3136,향03,명,香,C,03,향,incense
3137,개선하다01,동,改善-,C,01,개선하다,improve
3138,계좌02,명,計座,C,02,계좌,account
3140,당기다01,동,,B,01,당기다,pull
3141,도10,명,道. ~를 깨치다,C,10,도10,Figure 10
3142,들다01,보,따지고 ~,B,01,들다,Hold
3143,따르다02,동,물을 ~,B,02,따르다,follow
3144,말기05,명,末期,C,05,말기,last period
3145,말없이,부,,C,없이,말없이,Without saying a word
3146,망하다,동,亡-,C,하다,망하다,failed
3147,문서,명,文書,C,문서,문서,document
3148,박수02,명,拍手,B,02,박수,clap
3150,부자08,명,富者,B,08,부자,the rich
3151,사흘,명,,B,사흘,사흘,three days
3152,서쪽,명,西-,A,서쪽,서쪽,West
3153,성립되다,동,成立-,C,되다,성립되다,established
3154,손자01,명,孫子,B,01,손자,grandson
3156,신랑02,명,新郞,B,02,신랑,groom
3157,실습,명,實習,C,실습,실습,Training
3160,일찍이,부,,C,찍이,일찍이,early
3161,자율,명,自律,C,자율,자율,autonomy
3162,제법01,부,,B,01,제법,quite
3163,집중되다,동,集中-,C,되다,집중되다,be concentrated
3164,창조적,명,創造的,C,조적,창조적,creative
3166,천장02,명,天障,C,02,천장,ceiling
3168,파다01,동,,C,01,파다,dig
3169,하긴,부,,C,하긴,하긴,but
3170,해결되다,동,解決-,C,되다,해결되다,solved
3171,향상01,명,向上,C,01,향상,Improving
3172,화가03,명,畵家,B,03,화가,artist
3173,가라앉다,동,,C,앉다,가라앉다,Sink
3174,감싸다,동,,C,싸다,감싸다,cover
3175,고작02,부,,C,02,고작,At best
3176,구경하다,동,,B,하다,구경하다,watch
3177,국물,명,,B,국물,국물,soup
3178,기구14,명,器具,C,14,기구14,Organization 14
3180,깔다,동,,C,깔다,깔다,lay
3181,다짐하다,동,,C,하다,다짐하다,promise
3183,대합실,명,待合室,C,합실,대합실,waiting room
3184,말씀드리다,동,,B,리다,말씀드리다,tell you
3185,매장06,명,賣場,C,06,매장,store
3186,멀어지다,동,,B,지다,멀어지다,To get farther away
3187,명칭02,명,名稱,C,02,명칭,designation
3188,불쌍하다,형,,B,하다,불쌍하다,poor
3190,상업02,명,商業,C,02,상업,Commerce
3191,생산되다,동,生産-,C,되다,생산되다,produced
3192,숨기다,동,,C,기다,숨기다,hide
3193,실력02,명,實力,B,02,실력,skill
3194,야채,명,野菜,B,야채,야채,vegetable
3196,엉덩이,명,,C,덩이,엉덩이,hip
3197,울음,명,,B,울음,울음,weeping
3199,이달01,명,,C,01,이달,this month
3200,인체,명,人體,C,인체,인체,anatomy
3201,저고리01,명,,C,01,저고리,Jeogori
3202,전부05,명,全部,B,05,전부,entire
3203,즐거움,명,,B,거움,즐거움,joy
3204,지다03,동,전쟁에 ~,B,03,지다,lose
3205,진단02,명,診斷,C,02,진단,Diagnosis
3206,질병02,명,疾病,C,02,질병,disease
3207,짜다01,동,관을 ~,C,01,짜다,salty
3208,체력,명,體力,C,체력,체력,health
3209,친하다,형,親-,B,하다,친하다,close
3211,헤아리다,동,,C,리다,헤아리다,count
3213,각기02,부,各其,C,02,각기,each
3214,경찰서,명,警察署,A,찰서,경찰서,police office
3215,곧바로,부,,B,바로,곧바로,Right away
3216,관찰01,명,觀察,C,01,관찰,observe
3217,구두01,명,,A,01,구두,shoes
3219,군사01,명,軍士,C,01,군사,Military
3220,귀신01,명,鬼神,C,01,귀신,ghost
3221,귀하다,형,貴-,C,하다,귀하다,precious
3222,그토록,부,,C,토록,그토록,So much
3223,기초하다03,동,基礎-,C,03,기초하다,base
3224,깊이01,명,,B,01,깊이,depth
3225,나뭇가지,명,,B,가지,나뭇가지,branch
3226,낫다01,동,병이 ~,B,01,낫다,better
3228,답하다,동,答-,B,하다,답하다,answer
3229,대가06,명,代價,C,06,대가,cost
3230,더위,명,,B,더위,더위,heat
3231,되찾다,동,,C,찾다,되찾다,get back
3232,말리다03,동,빨래를 ~,C,03,말리다,dry
3233,무덤,명,,C,무덤,무덤,tomb
3234,물결,명,,C,물결,물결,wave
3235,밥상,명,-床,C,밥상,밥상,dining table
3236,보장하다01,동,保障-,C,01,보장하다,Vouch
3237,사과05,명,沙果,A,05,사과,apologize
3238,사귀다,동,,C,귀다,사귀다,make friends with
3240,서너,관,,B,서너,서너,three or four
3241,솟다01,동,,C,01,솟다,tower
3242,실패02,명,失敗,B,02,실패,failure
3243,예상하다,동,豫想-,C,하다,예상하다,expect
3244,예외,명,例外,C,예외,예외,exception
3245,완전01,명,完全,C,01,완전,very
3246,웃기다,동,,B,기다,웃기다,funny
3247,유리10,명,琉璃,B,10,유리10,glass 10
3248,절대적,명,絶對的,C,대적,절대적,Absolute
3249,제작하다02,동,製作-,C,02,제작하다,It is produced
3250,쥐02,명,동물,B,02,쥐,mouse
3251,최대한,명,最大限,C,대한,최대한,Most
3252,턱01,명,신체의 일부,B,01,턱,chin
3253,팔리다,동,,B,리다,팔리다,sell
3254,품다01,동,가슴에 ~,C,01,품다,incubate
3255,하하01,부,,B,01,하하,haha
3257,형부01,명,兄夫,B,01,형부,Brother-in-law
3258,휴식02,명,休息,C,02,휴식,rest
3259,굳다,형,,C,굳다,굳다,harden
3260,굳어지다,동,,C,지다,굳어지다,harden
3261,굶다,동,,C,굶다,굶다,starve
3262,금년,명,今年,B,금년,금년,this year
3263,기기13,명,機器,C,13,기기13,device13
3264,까맣다,형,,B,맣다,까맣다,It's black
3265,나침반,명,羅針盤,C,침반,나침반,Compass
3267,농부01,명,農夫,C,01,농부,farmer
3268,대학원,명,大學院,B,학원,대학원,Graduate school
3269,더럽다,형,,B,럽다,더럽다,dirty
3270,도달하다01,동,到達-,C,01,도달하다,Reach
3271,뒤늦다,형,,C,늦다,뒤늦다,It's too late
3272,뒤지다02,동,가방을 ~,C,02,뒤지다,fall behind
3273,등록01,명,登錄,B,01,등록,registration
3274,디스크,명,disk,C,스크,디스크,disk
3275,맛보다01,동,,C,01,맛보다,taste
3277,무늬,명,,B,무늬,무늬,pattern
3278,문장02,명,文章,B,02,문장,sentence
3279,묻다02,동,시체를 ~,C,02,묻다,ask
3280,변호사,명,辯護士,B,호사,변호사,lawyer
3283,상23,명,像,C,23,상23,23
3284,상상력01,명,想像力,C,01,상상력,imagination
3287,여학생,명,女學生,A,학생,여학생,female student
3288,영업,명,營業,C,영업,영업,sales
3289,예01,명,~나 지금이나,C,01,예,yes
3290,예방02,명,豫防,C,02,예방,prevention
3291,완성01,명,完成,C,01,완성,complete
3292,유리하다01,형,有利-,C,01,유리하다,It is advantageous
3293,자연환경,명,自然環境,C,환경,자연환경,natural environment
3296,증명하다,동,證明-,C,하다,증명하다,prove
3297,지적되다,동,指摘-,C,되다,지적되다,point out
3298,지점03,명,地點,B,03,지점,Point
3299,철저히,부,徹底-,C,저히,철저히,thoroughly
3300,코스,명,course,C,코스,코스,course
3301,학부모,명,學父母,C,부모,학부모,parents
3302,합리적,명,合理的,C,리적,합리적,rational
3304,해석하다02,동,解釋-,C,02,해석하다,interpret
3305,힘쓰다,동,,C,쓰다,힘쓰다,exert effort
3306,거듭,부,,C,거듭,거듭,repeatedly
3307,귀국하다,동,歸國-,B,하다,귀국하다,return home
3308,기뻐하다,동,,B,하다,기뻐하다,I am happy
3309,날리다02,동,'날다'의 사동사,C,02,날리다,fly
3310,내려놓다,동,,B,놓다,내려놓다,put down
3311,냉장고,명,冷藏庫,A,장고,냉장고,refrigerator
3312,당근,명,,B,당근,당근,carrot
3313,덜다01,동,,C,01,덜다,subtract
3315,뛰어넘다,동,,C,넘다,뛰어넘다,jump over
3316,마누라01,명,,C,01,마누라,wife
3317,맞이하다,동,,C,하다,맞이하다,greet
3318,불행하다,형,不幸-,B,하다,불행하다,unhappy
3320,신고하다01,동,申告-,C,01,신고하다,report
3321,연속02,명,連續,C,02,연속,continuity
3322,외롭다,형,,B,롭다,외롭다,lonely
3323,욕02,명,辱,C,02,욕,swear word
3324,원장07,명,院長,C,07,원장,ledger
3325,유물04,명,遺物,C,04,유물,relics
3326,저절로,부,,C,절로,저절로,By itself
3327,절02,명,~을 하다,B,02,절,I
3328,정비05,명,整備,C,05,정비,maintenance
3330,주의07,명,注意,C,07,주의,caution
3331,지난번,명,-番,B,난번,지난번,last time
3333,집어넣다,동,,C,넣다,집어넣다,Put in
3334,통계04,명,統計,C,04,통계,statistics
3335,파일03,명,file,B,03,파일,file
3336,판01,의,마지막 ~,C,01,판,board
3337,피해자,명,被害者,C,해자,피해자,victim
3338,필수적,명,必須的,C,수적,필수적,essential
3339,학용품,명,學用品,C,용품,학용품,stationery
3340,화분01,명,花盆,B,01,화분,pot
3341,환하다01,형,,C,01,환하다,clear
3342,갈색,명,褐色,B,갈색,갈색,brown
3343,감기04,명,感氣,A,04,감기,cold
3344,강남,명,江南,C,강남,강남,Gangnam
3346,구속되다,동,拘束-,C,되다,구속되다,be arrested
3348,돌아다니다,동,,C,니다,돌아다니다,Roam
3349,등등01,의,等等,C,01,등등,etc
3350,멋지다,형,,C,지다,멋지다,awesome
3351,반발01,명,反撥,C,01,반발,repulsion
3352,반찬,명,飯饌,B,반찬,반찬,side dish
3353,방지04,명,防止,C,04,방지,Prevention
3354,배다01,동,땀이 ~,C,01,배다,conceive
3356,보장01,명,保障,C,01,보장,guarantee
3357,빠져나오다,동,,C,오다,빠져나오다,get out
3358,새다01,동,비가 ~,C,01,새다,leak
3360,소개되다,동,紹介-,B,되다,소개되다,be introduced
3361,씨01,명,~를 심다,B,01,씨,Seed
3362,안쪽,명,,B,안쪽,안쪽,inside
3364,억울하다,형,抑鬱-,C,하다,억울하다,It is unfair
3365,오가다,동,,B,가다,오가다,come and go
3366,요구되다,동,要求-,C,되다,요구되다,required
3367,음성02,명,音聲,C,02,음성,voice
3368,이윽고,부,,C,윽고,이윽고,yet
3370,장식05,명,裝飾,C,05,장식,decoration
3371,전개하다02,동,展開-,C,02,전개하다,unfold
3372,전날,명,前-,B,전날,전날,eve
3373,전반적,명,全般的,C,반적,전반적,overall
3377,척하다01,보,,C,01,척하다,pretend
3380,풍습01,명,風習,C,01,풍습,custom
3381,한가운데,명,,C,운데,한가운데,midst
3382,한정되다,동,限定-,C,되다,한정되다,limited
3383,해내다,동,,C,내다,해내다,accomplish
3384,흉내,명,,C,흉내,흉내,mimicry
3385,감옥02,명,監獄,C,02,감옥,prison
3386,갚다,동,,C,갚다,갚다,pay back
3388,건전하다,형,健全-,C,하다,건전하다,wholesome
3389,결혼식,명,結婚式,A,혼식,결혼식,Wedding ceremony
3390,계산기,명,計算器,B,산기,계산기,A calculator
3392,광장02,명,廣場,C,02,광장,Plaza
3393,그렇지,감,,B,렇지,그렇지,yes
3394,깨다02,동,그릇을 ~,B,02,깨다,wake up
3395,꽉,부,,C,꽉,꽉,closely
3396,끼우다01,동,,C,01,끼우다,insert
3398,노래하다,동,,A,하다,노래하다,Sing
3399,다듬다,동,,C,듬다,다듬다,trim
3400,다름없다,형,,C,없다,다름없다,It's no different
3401,당당하다,형,堂堂-,C,하다,당당하다,confident
3402,댐02,명,dam,C,02,댐,dam
3403,덩어리,명,,C,어리,덩어리,Lump
3404,두뇌,명,頭腦,C,두뇌,두뇌,brains
3405,등04,의,等. 1~,B,04,등,etc.
3406,모처럼,부,,C,처럼,모처럼,After a long time
3407,물리학,명,物理學,C,리학,물리학,Physics
3408,벌06,명,罰,C,06,벌,punishment
3410,부정적,명,否定的,C,정적,부정적,negative
3411,북부01,명,北部,C,01,북부,northern
3412,분리04,명,分離,C,04,분리,separation
3413,상당04,명,相當,C,04,상당,equivalent
3415,세다03,형,기운이 ~,B,03,세다,count
3416,소개02,명,紹介,B,02,소개,introduction
3417,수화기,명,受話器,B,화기,수화기,receiver
3419,애인02,명,愛人,B,02,애인,lover
3420,애초01,명,-初,C,01,애초,From the beginning
3421,얇다,형,,B,얇다,얇다,thin
3422,양념,명,,B,양념,양념,seasoning
3423,에02,감,,C,02,에,to
3425,오염되다,동,汚染-,C,되다,오염되다,polluted
3426,오해02,명,誤解,C,02,오해,misunderstanding
3428,웬일,명,,B,웬일,웬일,Why
3431,의식04,명,儀式,C,04,의식,Consciousness
3432,의지하다,동,依支-,C,하다,의지하다,Rely
3433,일기12,명,日記,B,12,일기12,diary 12
3434,절대05,부,絶對,B,05,절대,never
3436,제한하다,동,制限-,C,하다,제한하다,limit
3437,존중하다,동,尊重-,C,하다,존중하다,respect
3439,창고01,명,倉庫,B,01,창고,storage
3440,채10,부,말이 ~ 끝나기도 전에,C,10,채10,Chae10
3441,책임지다,동,,C,지다,책임지다,Vouch
3442,청춘01,명,靑春,C,01,청춘,youth
3443,초반01,명,初盤,C,01,초반,early days
3446,트럭,명,truck,C,트럭,트럭,truck
3447,파01,명,식물,B,01,파,green onion
3448,폭넓다,형,幅-,C,넓다,폭넓다,wide
3449,표현되다,동,表現-,C,되다,표현되다,expressed
3450,학번,명,學番,C,학번,학번,Student ID
3451,학원02,명,學院,B,02,학원,academy
3452,허가01,명,許可,C,01,허가,permission
3453,헤매다,동,,C,매다,헤매다,wander about
3454,가장07,명,家長,C,07,가장,most
3459,곡02,명,曲,C,02,곡,song
3460,곡식,명,穀食,C,곡식,곡식,grain
3462,꽂다,동,,C,꽂다,꽂다,stick
3466,두려움,명,,C,려움,두려움,fear
3467,망설이다,동,,C,이다,망설이다,hesitate
3468,무리01,명,~를 이루다,C,01,무리,swarm
3470,버터,명,butter,B,버터,버터,butter
3471,별다르다,형,別-,C,르다,별다르다,It's different
3472,보편적,명,普遍的,C,편적,보편적,universal
3473,부품,명,部品,C,부품,부품,part
3476,뻔하다02,형,,C,02,뻔하다,obvious
3477,뽑히다,동,,C,히다,뽑히다,be chosen
3478,상담01,명,相談,C,01,상담,consulting
3479,서부01,명,西部,C,01,서부,western
3481,속담,명,俗談,C,속담,속담,Proverb
3482,시중03,명,市中,C,03,시중,city
3484,심사08,명,審査,C,08,심사,judge
3485,아이02,감,,B,02,아이,kid
3486,앞세우다,동,,C,우다,앞세우다,take the lead
3488,유사하다03,형,類似-,C,03,유사하다,similar
3489,유치원,명,幼稚園,B,치원,유치원,kindergarden
3490,의욕,명,意欲,C,의욕,의욕,Will
3491,인근,명,隣近,C,인근,인근,vicinity
3493,일반인,명,一般人,C,반인,일반인,general public
3494,작성하다,동,作成-,C,하다,작성하다,write
3495,전공05,명,專攻,B,05,전공,Major
3497,정기07,명,定期,C,07,정기,Routine
3498,제의04,명,提議,C,04,제의,suggest
3499,종일01,명,終日,B,01,종일,all day
3500,좋아지다,동,,B,지다,좋아지다,get better
3502,차림,명,,C,차림,차림,outfit
3503,창조하다,동,創造-,C,하다,창조하다,create
3504,추위01,명,,B,01,추위,cold
3505,토마토,명,tomato,B,마토,토마토,tomato
3506,파랗다,형,,B,랗다,파랗다,blue
3507,펴내다,동,,C,내다,펴내다,publish
3509,하드웨어,명,hardware,C,웨어,하드웨어,hardware
3510,화장02,명,化粧,C,02,화장,Makeup
3512,가져가다,동,,B,가다,가져가다,Take away
3513,감자01,명,,B,01,감자,potato
3514,강렬하다02,형,强烈-,C,02,강렬하다,Intense
3515,갖다01,보,가지다,B,01,갖다,have
3516,괴롭다,형,,B,롭다,괴롭다,pain
3517,교통사고,명,交通事故,B,사고,교통사고,Traffic Accident
3519,군데,의,,B,군데,군데,here and there
3520,내일,부,來日,A,내일,내일,tomorrow
3523,되풀이하다01,동,,C,01,되풀이하다,repeat
3524,딱02,부,멎는 모양,C,02,딱,Just
3525,리02,의,里,C,02,리,lee
3526,메시지,명,message,B,시지,메시지,message
3527,면하다01,동,免-,C,01,면하다,avoid
3528,모색하다02,동,摸索-,C,02,모색하다,grope
3530,붙잡다,동,,C,잡다,붙잡다,seize
3531,빛깔,명,,C,빛깔,빛깔,color
3532,뺨,명,,B,뺨,뺨,cheek
3533,사방03,명,四方,C,03,사방,everywhere
3534,살림01,명,,C,01,살림,livelihood
3537,실현,명,實現,C,실현,실현,present
3538,아냐,감,,C,아냐,아냐,no
3539,연예인,명,演藝人,C,예인,연예인,celebrity
3540,영원히,부,永遠-,B,원히,영원히,forever
3541,월급,명,月給,B,월급,월급,salary
3542,유행02,명,流行,B,02,유행,trend
3544,이내03,부,,C,03,이내,Within
3545,이리04,부,~ 오너라,B,04,이리,Wolf
3547,제발01,부,,B,01,제발,please
3550,차츰,부,,C,차츰,차츰,Gradually
3553,투표01,명,投票,C,01,투표,vote
3554,파괴하다,동,破壞-,C,하다,파괴하다,destroy
3555,하느님,명,,C,느님,하느님,God
3557,해당되다,동,該當-,C,되다,해당되다,Applicable
3559,홀로,부,,C,홀로,홀로,alone
3560,가까이,명,,B,까이,가까이,closely
3561,가득하다01,형,,B,01,가득하다,full in here
3562,각자02,부,各自,B,02,각자,Each
3563,감히,부,敢-,C,감히,감히,dare
3564,강요하다,동,强要-,C,하다,강요하다,Compel
3565,개미03,명,곤충,C,03,개미,ant
3566,관습,명,慣習,C,관습,관습,custom
3567,광경,명,光景,C,광경,광경,scene
3571,금세01,부,,C,01,금세,in no time
3572,낮추다,동,,C,추다,낮추다,lower
3574,내주다,동,,C,주다,내주다,let
3578,명의02,명,名義,C,02,명의,Name
3579,물고기,명,,B,고기,물고기,fish
3580,물러나다,동,,C,나다,물러나다,step down
3581,밀접하다,형,密接-,C,하다,밀접하다,close
3582,부탁,명,付託,B,부탁,부탁,ask
3583,분량,명,分量,C,분량,분량,amount
3584,불과01,부,不過,C,01,불과,only
3585,뻔하다01,보,,C,01,뻔하다,obvious
3587,상자10,명,箱子,B,10,상자10,box 10
3588,새해,명,,B,새해,새해,new year
3589,소박하다01,형,素朴-,C,01,소박하다,simple
3590,수없이,부,數-,C,없이,수없이,countless times
3591,승진03,명,昇進,C,03,승진,promotion
3592,양07,관,兩,C,07,양,sheep
3593,얼음01,명,,B,01,얼음,ice
3596,열매01,명,,C,01,열매,Fruit
3600,적히다,동,,C,히다,적히다,write down
3602,점수06,명,點數,B,06,점수,score
3603,제한되다,동,制限-,C,되다,제한되다,be restricted
3605,지속되다,동,持續-,C,되다,지속되다,continue
3606,쫓기다,동,,C,기다,쫓기다,chased
3607,쭉,부,,C,쭉,쭉,all the way
3611,통장02,명,通帳,B,02,통장,Bank book
3613,평가되다,동,評價-,C,되다,평가되다,be evaluated
3614,하도01,부,,C,01,하도,Hado
3615,한창01,부,,C,01,한창,In full swing
3616,해안02,명,海岸,C,02,해안,Coast
3617,호박01,명,,C,01,호박,pumpkin
3619,흑인,명,黑人,C,흑인,흑인,black
3620,간08,명,肝,C,08,간,liver
3621,갇히다,동,,C,히다,갇히다,be confined
3623,결심하다01,동,決心-,B,01,결심하다,Decide
3624,경기장,명,競技場,B,기장,경기장,Stadium
3625,고장11,명,故障,B,11,고장11,Breakdown 11
3628,근로02,명,勤勞,C,02,근로,work
3629,눈동자,명,-瞳子,C,동자,눈동자,pupil
3630,늦다,동,,A,늦다,늦다,late
3631,닥치다01,동,다다르다,C,01,닥치다,befall
3633,도시락,명,,B,시락,도시락,lunch box
3634,뜯다,동,,C,뜯다,뜯다,tear off
3636,몸짓,명,,C,몸짓,몸짓,gesture
3638,부담하다01,동,負擔-,C,01,부담하다,burden
3640,부회장,명,副會長,C,회장,부회장,vice-chairman
3642,빼앗다,동,,C,앗다,빼앗다,Steal
3643,삼키다,동,,C,키다,삼키다,gulp down
3645,성실하다02,형,誠實-,C,02,성실하다,sincere
3646,스튜디오,명,studio,C,디오,스튜디오,studio
3647,실제02,부,實際,C,02,실제,real
3649,요새01,명,,B,01,요새,these days
3650,이상적01,명,理想的,C,01,이상적,ideal
3652,일쑤,명,,C,일쑤,일쑤,often
3653,일체01,명,一切,C,01,일체,one body
3654,자꾸만,부,,B,꾸만,자꾸만,keeps on
3655,잦다03,형,왕래가 ~,C,03,잦다,often
3656,절망02,명,絶望,C,02,절망,despair
3657,접다01,동,,C,01,접다,fold
3659,제시되다,동,提示-,C,되다,제시되다,presented
3660,주방05,명,廚房,C,05,주방,kitchen
3662,진출하다02,동,進出-,C,02,진출하다,advance
3663,짜증,명,,B,짜증,짜증,petulance
3664,첫날,명,,B,첫날,첫날,First day
3666,통과하다,동,通過-,C,하다,통과하다,Pass
3667,투명하다02,형,透明-,C,02,투명하다,transparent
3671,확산되다,동,擴散-,C,되다,확산되다,spread
3672,경력02,명,經歷,C,02,경력,career
3674,고통스럽다,형,苦痛-,C,럽다,고통스럽다,It's painful
3675,곤란하다,형,困難-,C,하다,곤란하다,It is difficult
3676,공중03,명,空中,C,03,공중,Public
3677,공해01,명,公害,C,01,공해,pollution
3679,귀찮다,형,,C,찮다,귀찮다,it's bothering
3680,기대다01,동,의지하다,C,01,기대다,lean
3681,깨어나다,동,,C,나다,깨어나다,wake up
3682,꼽히다01,동,,C,01,꼽히다,be singled out
3683,대다수,명,大多數,C,다수,대다수,plurality
3685,듯싶다,보,,C,싶다,듯싶다,It seems like
3686,먹이,명,,C,먹이,먹이,food
3687,무02,명,식물,B,02,무,radish
3688,무료01,명,無料,C,01,무료,free
3689,밉다,형,,B,밉다,밉다,hate
3690,발레,명,&프ballet,C,발레,발레,ballet
3693,상징하다,동,象徵-,C,하다,상징하다,symbolizes
3694,실현하다,동,實現-,C,하다,실현하다,realize
3695,아깝다,형,,C,깝다,아깝다,what a waste
3696,안정되다,동,安定-,C,되다,안정되다,stabilize
3698,어리석다,형,,C,석다,어리석다,stupid
3699,엎드리다,동,,C,리다,엎드리다,kneel down
3700,여럿,명,,C,여럿,여럿,many
3702,연설02,명,演說,C,02,연설,speech
3703,연필,명,鉛筆,A,연필,연필,pencil
3704,염려01,명,念慮,C,01,염려,worry
3706,우습다,형,,C,습다,우습다,It's funny
3707,운전02,명,運轉,A,02,운전,drive
3708,익숙하다,형,,B,하다,익숙하다,be used to
3709,일자05,명,日子,C,05,일자,Date
3710,잔치01,명,,B,01,잔치,party
3712,전달되다,동,傳達-,C,되다,전달되다,delivered
3713,전부05,부,全部,B,05,전부,entire
3716,차다04,형,날씨가 ~,B,04,차다,cold
3718,치료하다,동,治療-,B,하다,치료하다,Treat
3719,칸01,명,,C,01,칸,Cannes
3720,한05,명,恨,C,05,한,one
3723,갈수록,부,,C,수록,갈수록,As time goes by
3725,갖가지,명,,C,가지,갖가지,all sorts of things
3726,거절하다01,동,拒絶-,C,01,거절하다,refuse
3730,관광객,명,觀光客,B,광객,관광객,tourist
3731,구별하다,동,區別-,C,하다,구별하다,Distinguish
3732,국01,명,음식,B,01,국,soup
3735,다행,명,多幸,C,다행,다행,Relief
3737,동의02,명,同意,C,02,동의,agreement
3740,마무리,명,,C,무리,마무리,finish
3741,마주치다,동,,C,치다,마주치다,Come across
3742,막상01,부,,C,01,막상,Actually
3743,몇,수,,A,몇,몇,some
3744,몸통,명,,C,몸통,몸통,body
3745,못01,명,벽에 ~을 박다,C,01,못,pond
3746,묘사하다,동,描寫-,C,하다,묘사하다,Depict
3748,미술관,명,美術館,B,술관,미술관,Art gallery
3750,베다02,동,목을 ~,C,02,베다,mow
3751,보장되다,동,保障-,C,되다,보장되다,guaranteed
3752,볼01,명,뺨,C,01,볼,cheek
3753,부분적,명,部分的,C,분적,부분적,partially
3754,불고기,명,,A,고기,불고기,Bulgogi
3755,불리다07,동,물에 ~,C,07,불리다,be called
3756,불행,명,不幸,C,불행,불행,Unhappiness
3757,비명02,명,悲鳴,C,02,비명,scream
3759,순수03,명,純粹,C,03,순수,pure
3760,시각03,명,時刻,C,03,시각,Time
3761,실질적,명,實質的,C,질적,실질적,practical
3762,안개,명,,C,안개,안개,Fog
3764,여름철,명,,B,름철,여름철,summer season
3765,오로지,부,,C,로지,오로지,only
3766,완성하다01,동,完成-,C,01,완성하다,to complete
3767,이런저런,관,,C,저런,이런저런,This and that
3769,임무01,명,任務,C,01,임무,mission
3770,자연히,부,自然-,C,연히,자연히,naturally
3772,장난,명,,C,장난,장난,joke
3773,저런01,관,,B,01,저런,Like that
3774,전용04,명,專用,C,04,전용,private
3778,지극히,부,至極-,C,극히,지극히,extremely
3779,청하다,동,請-,C,하다,청하다,ask
3783,확정02,명,確定,C,02,확정,confirmed
3784,가상05,명,假想,C,05,가상,email
3785,각자02,명,各自,B,02,각자,Each
3786,간혹,부,間或,C,간혹,간혹,sometimes
3787,개방하다03,동,開放-,C,03,개방하다,open
